navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
FLORØ,77668,,2014,LINJA AS,61.594867337567834,5.057972676199989
NESBYEN OMFORMERSTASJON,81024,,1960,BANE NOR SF,60.59637376577808,9.092236450094124
ÅSKÅRA,77558,,1969,LINJA AS,61.81166686569174,5.661531547964741
T_66_HAUGHOLT,77662,,1988,KRAGERØ ENERGI AS,58.92697720919192,9.340227706701475
KRÅKERØY SEKUNDÆRSTASJON,,,,NORGESNETT AS,59.20646373235996,10.936016737785854
ANGEDALEN,80633,,2000,LINJA AS,61.47078607735802,5.925563611181872
STAVNE OMFORMERSTASJON,81516,,1995,BANE NOR SF,63.41400679564247,10.383572294298904
,,,,ANDØY ENERGI NETT AS,69.15637108580157,16.089023908609743
FRAMRUSTE,77867,,2005,HAFSLUND ECO VANNKRAFT INNLANDET AS,61.94132103346645,7.8811997637528695
,,,,,58.89775631646203,6.121398799082141
,,,,,58.72113349230739,5.655706513873521
SARPSBORG OMFORMERSTASJON,81515,,1960,BANE NOR SF,59.24614930579288,11.165390573725045
MÆRINGEN-T,77487,,1963,GLITRE ENERGI NETT AS,60.674793488112044,6.57098353141213
FORDELINGSSTASJON,77505,,1974,LKAB NORGE AS,68.43373900698306,17.408279001389843
